user_name,screen_distance,target_x,target_y,left_x,left_y,right_x,right_y,pupil_distance_mm
hande,30,1820,540,751,353,1119,384,60
hande,30,100,980,775,355,1140,385,60
hande,30,530,980,708,363,1078,391,60
hande,30,960,980,718,363,1090,390,60
hande,30,1390,980,731,360,1099,389,60
hande,30,1820,980,748,359,1113,389,60
hande,30,100,100,713,342,1080,367,60
hande,30,530,100,706,340,1076,366,60
hande,30,960,100,712,341,1085,367,60
hande,30,1390,100,737,342,1107,370,60
hande,30,1820,100,759,340,1128,370,60
hande,30,100,540,773,342,1141,371,60
hande,30,530,540,710,351,1080,378,60
hande,30,960,540,729,351,1097,379,60
hande,30,1390,540,755,350,1121,379,60
hande,30,1820,540,777,351,1141,382,60
hande,30,100,980,786,351,1151,383,60
hande,30,530,980,733,360,1099,388,60
hande,30,960,980,746,358,1112,388,60
hande,30,1390,980,749,357,1115,387,60
hande,30,1820,980,763,356,1127,389,60
hande,30,100,100,731,345,1099,373,60
hande,30,530,100,713,341,1078,369,60
hande,30,960,100,729,342,1097,369,60
hande,30,1390,100,740,341,1107,370,60
hande,30,1820,100,757,339,1124,370,60
hande,30,100,540,776,342,1140,372,60
hande,30,530,540,713,352,1076,378,60
hande,30,960,540,731,352,1096,380,60
hande,30,1390,540,744,351,1107,380,60
hande,30,1820,540,760,349,1122,377,60
hande,30,100,980,771,350,1132,379,60
hande,30,530,980,718,357,1081,382,60
hande,30,960,980,739,359,1102,387,60
hande,30,1390,980,754,358,1114,386,60
hande,30,1820,980,767,358,1126,388,60
hande,30,100,100,743,349,1105,377,60
hande,30,530,100,713,341,1077,368,60
hande,30,960,100,731,341,1096,370,60
hande,30,1390,100,755,341,1115,371,60
hande,30,1820,100,765,339,1125,366,60
hande,30,100,540,792,338,1150,368,60
hande,30,530,540,734,348,1094,376,60
hande,30,960,540,741,347,1099,377,60
hande,30,1390,540,761,346,1116,377,60
hande,30,1820,540,782,345,1136,377,60
hande,30,100,980,798,347,1151,379,60
hande,30,530,980,732,358,1088,386,60
hande,30,960,980,747,355,1106,385,60
hande,30,1390,980,760,355,1118,387,60
hande,30,1820,980,778,356,1134,390,60
hande,30,100,100,738,333,1120,348,60
hande,30,530,100,733,332,1115,347,60
hande,30,960,100,743,332,1127,348,60
hande,30,1390,100,740,330,1124,345,60
hande,30,1820,100,762,329,1148,346,60
hande,30,100,540,785,327,1170,346,60
hande,30,530,540,704,341,1089,355,60
hande,30,960,540,727,338,1111,354,60
hande,30,1390,540,734,337,1117,354,60
hande,30,1820,540,756,337,1137,355,60
hande,30,100,980,770,337,1151,357,60
hande,30,530,980,707,347,1084,364,60
hande,30,960,980,731,345,1110,362,60
hande,30,1390,980,738,342,1115,361,60
hande,30,1820,980,746,342,1125,362,60
hande,30,100,100,724,335,1104,353,60
hande,30,530,100,710,326,1090,343,60
hande,30,960,100,721,324,1099,343,60
hande,30,1390,100,748,321,1126,343,60
hande,30,1820,100,775,320,1154,343,60
hande,30,100,540,786,319,1164,342,60
hande,30,530,540,733,331,1109,350,60
hande,30,960,540,739,332,1119,353,60
hande,30,1390,540,753,330,1130,352,60
hande,30,1820,540,771,330,1146,354,60
hande,30,100,980,787,330,1161,355,60
hande,30,530,980,734,342,1108,361,60
hande,30,960,980,746,340,1122,361,60
hande,30,1390,980,764,338,1138,361,60
hande,30,1820,980,779,337,1153,362,60
hande,30,100,100,754,320,1131,342,60
hande,30,530,100,730,314,1108,336,60
hande,30,960,100,745,309,1122,331,60
