user_name,screen_distance,target_x,target_y,left_x,left_y,right_x,right_y,real_pupil_distance,pupil_distance
hande,30.0,100,100,1236,630,1615,635,60,379.03298009540015
hande,30.0,530,100,1212,626,1596,633,60,384.0637967838156
hande,30.0,960,100,1216,629,1598,631,60,382.0052355662158
hande,30.0,1390,100,1227,629,1609,632,60,382.0117799230804
hande,30.0,1820,100,1251,628,1632,633,60,381.03280698648507
hande,30.0,100,540,1272,627,1651,631,60,379.0211075916485
hande,30.0,530,540,1212,637,1589,643,60,377.04774233510534
hande,30.0,960,540,1220,640,1600,644,60,380.0210520484359
hande,30.0,1390,540,1228,640,1607,643,60,379.0118731649445
hande,30.0,1820,540,1247,641,1629,644,60,382.0117799230804
hande,30.0,100,980,1262,642,1642,646,60,380.0210520484359
hande,30.0,530,980,1210,648,1588,651,60,378.0119045744459
hande,30.0,960,980,1225,650,1604,654,60,379.0211075916485
hande,30.0,1390,980,1237,650,1618,654,60,381.02099679676445
hande,30.0,1820,980,1257,650,1636,654,60,379.0211075916485
hande,30.0,100,100,1295,629,1679,637,60,384.0833242930497
hande,30.0,530,100,1268,632,1651,640,60,383.08354180256816
hande,30.0,960,100,1276,634,1661,641,60,385.06363110530185
hande,30.0,1390,100,1289,635,1675,641,60,386.0466293079115
hande,30.0,1820,100,1304,636,1691,642,60,387.04650883324086
hande,30.0,100,540,1319,635,1704,641,60,385.0467504083108
hande,30.0,530,540,1251,644,1634,651,60,383.06396332727513
hande,30.0,960,540,1254,642,1638,648,60,384.04687213932624
hande,30.0,1390,540,1261,644,1644,649,60,383.03263568526376
hande,30.0,1820,540,1277,641,1660,646,60,383.03263568526376
hande,30.0,100,980,1291,643,1670,649,60,379.0474904283103
hande,30.0,530,980,1240,649,1619,654,60,379.03298009540015
hande,30.0,960,980,1255,652,1634,657,60,379.03298009540015
hande,30.0,1390,980,1270,651,1650,658,60,380.06446821559103
hande,30.0,1820,980,1282,653,1663,660,60,381.064299036265
hande,30.0,100,100,1254,645,1644,654,60,390.10383233185496
hande,30.0,530,100,1253,642,1642,649,60,389.0629769073382
hande,30.0,960,100,1260,639,1650,647,60,390.08204265256813
hande,30.0,1390,100,1268,638,1658,645,60,390.06281545412656
hande,30.0,1820,100,1287,638,1676,645,60,389.0629769073382
hande,30.0,100,540,1303,637,1690,643,60,387.04650883324086
hande,30.0,530,540,1246,645,1636,655,60,390.1281840626232
hande,30.0,960,540,1260,646,1647,654,60,387.0826785068017
hande,30.0,1390,540,1268,649,1657,658,60,389.1040991816971
hande,30.0,1820,540,1282,649,1671,657,60,389.08225351460067
hande,30.0,100,980,1294,651,1683,659,60,389.08225351460067
hande,30.0,530,980,1244,657,1629,664,60,385.06363110530185
hande,30.0,960,980,1254,659,1641,666,60,387.06330231630074
hande,30.0,1390,980,1267,659,1652,667,60,385.0831079130841
hande,30.0,1820,980,1276,658,1664,667,60,388.1043674065006
hande,30.0,100,100,1276,661,1651,688,60,375.9707435426326
hande,30.0,530,100,1227,657,1611,686,60,385.09349514111506
